Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda 
Batom matte,Eletrônicos,15.56,30,Filial 6,Indisponivel
Máscara de cílios,Roupas,3.49,18,Filial 2,Indisponivel
Blush em pó,Eletrônicos,51.77,24,Filial 5,Indisponivel
Máscara de cílios,Eletrodomésticos,39.65,59,Filial 7,Indisponivel
Máscara de cílios,Alimentos,85.67,29,Filial 5,Indisponivel
Base líquida,Alimentos,7.13,68,Filial 7,Indisponivel
Corretivo,Eletrônicos,11.84,21,Filial 5,Indisponivel
Máscara de cílios,Eletrônicos,90.28,94,Filial 5,Indisponivel
Batom líquido,Roupas,73.18,34,Filial 2,Indisponivel
Pó compacto,Eletrônicos,49.9,16,Filial 7,Indisponivel
Delineador líquido,Eletrônicos,58.81,68,Filial 2,Indisponivel
Lápis de sobrancelha,Alimentos,77.33,40,Filial 7,Indisponivel
Sombra de olhos,Roupas,11.47,54,Filial 10,Indisponivel
Base líquida,Eletrodomésticos,95.26,11,Filial 8,Indisponivel
Pó compacto,Eletrônicos,55.23,46,Filial 8,Indisponivel
Máscara de cílios,Eletrodomésticos,96.84,68,Filial 4,Indisponivel
Delineador líquido,Roupas,42.05,77,Filial 1,Indisponivel
Sombra de olhos,Alimentos,49.43,26,Filial 8,Indisponivel
Base líquida,Alimentos,55.46,30,Filial 1,Indisponivel
Blush em pó,Eletrodomésticos,9.55,41,Filial 5,Indisponivel
Máscara de cílios,Alimentos,92.07,77,Filial 3,Indisponivel
Blush em pó,Roupas,68.6,28,Filial 4,Indisponivel
Batom líquido,Eletrônicos,58.46,59,Filial 5,Indisponivel
Delineador líquido,Roupas,14.14,38,Filial 7,Indisponivel
Base líquida,Eletrodomésticos,29.93,20,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,99.06,38,Filial 9,Indisponivel
Blush em pó,Eletrônicos,99.77,20,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,42.89,13,Filial 6,Indisponivel
Lápis de sobrancelha,Alimentos,41.04,57,Filial 10,Indisponivel
Blush em pó,Eletrônicos,80.04,82,Filial 8,Indisponivel
Delineador líquido,Alimentos,67.19,66,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,29.2,47,Filial 6,Indisponivel
Blush em pó,Eletrodomésticos,3.68,23,Filial 5,Indisponivel
Lápis de sobrancelha,Roupas,10.61,50,Filial 5,Indisponivel
Blush em pó,Roupas,6.53,88,Filial 2,Indisponivel
Máscara de cílios,Eletrodomésticos,17.15,98,Filial 3,Indisponivel
Delineador líquido,Eletrônicos,50.67,57,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,85.92,73,Filial 8,Indisponivel
Máscara de cílios,Eletrônicos,80.82,96,Filial 9,Indisponivel
Blush em pó,Roupas,78.83,37,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,31.0,4,Filial 3,Indisponivel
Blush em pó,Eletrodomésticos,39.24,59,Filial 5,Indisponivel
Sombra de olhos,Alimentos,81.1,38,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,30.19,12,Filial 2,Indisponivel
Máscara de cílios,Alimentos,12.52,46,Filial 5,Indisponivel
Sombra de olhos,Alimentos,32.42,19,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,60.51,93,Filial 4,Indisponivel
Máscara de cílios,Alimentos,82.55,33,Filial 4,Indisponivel
Máscara de cílios,Alimentos,68.61,40,Filial 5,Indisponivel
Máscara de cílios,Eletrodomésticos,53.79,63,Filial 7,Indisponivel
Batom líquido,Roupas,17.67,90,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,81.78,46,Filial 5,Indisponivel
Lápis de sobrancelha,Eletrônicos,1.65,19,Filial 4,Indisponivel
Batom matte,Roupas,17.48,15,Filial 2,Indisponivel
Batom líquido,Roupas,85.22,35,Filial 7,Indisponivel
Corretivo,Alimentos,63.22,59,Filial 8,Indisponivel
Máscara de cílios,Eletrônicos,78.66,2,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrônicos,25.38,74,Filial 5,Indisponivel
Corretivo,Alimentos,13.72,35,Filial 5,Indisponivel
Batom matte,Roupas,29.64,3,Filial 6,Indisponivel
Delineador líquido,Eletrônicos,92.38,53,Filial 7,Indisponivel
Batom matte,Alimentos,99.34,59,Filial 2,Indisponivel
Batom líquido,Eletrônicos,44.32,29,Filial 3,Indisponivel
Máscara de cílios,Eletrônicos,76.25,71,Filial 4,Indisponivel
Lápis de sobrancelha,Roupas,87.95,1,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,77.92,81,Filial 8,Indisponivel
Delineador líquido,Eletrodomésticos,85.04,42,Filial 6,Indisponivel
Blush em pó,Eletrônicos,18.28,99,Filial 10,Indisponivel
Pó compacto,Eletrônicos,63.47,2,Filial 6,Indisponivel
Batom líquido,Eletrônicos,92.48,38,Filial 9,Indisponivel
Máscara de cílios,Alimentos,2.49,59,Filial 8,Indisponivel
Pó compacto,Eletrônicos,92.35,64,Filial 4,Indisponivel
Batom matte,Eletrônicos,48.17,34,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,32.33,43,Filial 6,Indisponivel
Base líquida,Roupas,29.62,3,Filial 2,Indisponivel
Pó compacto,Roupas,57.36,14,Filial 7,Indisponivel
Batom matte,Roupas,35.71,83,Filial 4,Indisponivel
Sombra de olhos,Roupas,82.51,73,Filial 4,Indisponivel
Corretivo,Roupas,50.87,37,Filial 5,Indisponivel
Corretivo,Eletrodomésticos,76.19,98,Filial 1,Indisponivel
Lápis de sobrancelha,Alimentos,1.14,46,Filial 3,Indisponivel
Batom matte,Eletrodomésticos,40.32,84,Filial 3,Indisponivel
Sombra de olhos,Roupas,9.79,86,Filial 5,Indisponivel
Pó compacto,Alimentos,45.21,43,Filial 8,Indisponivel
Máscara de cílios,Eletrodomésticos,55.48,3,Filial 9,Indisponivel
Sombra de olhos,Alimentos,1.88,31,Filial 9,Indisponivel
Batom líquido,Alimentos,12.01,43,Filial 10,Indisponivel
Blush em pó,Eletrônicos,10.23,62,Filial 1,Indisponivel
Blush em pó,Eletrônicos,19.12,90,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,74.8,69,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,20.0,38,Filial 4,Indisponivel
Corretivo,Eletrônicos,44.17,29,Filial 5,Indisponivel
Corretivo,Roupas,40.94,68,Filial 6,Indisponivel
Corretivo,Alimentos,22.56,9,Filial 10,Indisponivel
Pó compacto,Eletrônicos,98.45,20,Filial 5,Indisponivel
Blush em pó,Eletrônicos,10.77,78,Filial 3,Indisponivel
Lápis de sobrancelha,Roupas,49.88,75,Filial 3,Indisponivel
Base líquida,Roupas,68.92,86,Filial 8,Indisponivel
Corretivo,Alimentos,45.51,69,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,74.08,60,Filial 8,Indisponivel
Batom matte,Eletrônicos,60.67,88,Filial 4,Indisponivel
Batom matte,Eletrodomésticos,52.29,40,Filial 8,Indisponivel
Blush em pó,Eletrônicos,13.96,46,Filial 8,Indisponivel
Sombra de olhos,Alimentos,77.88,76,Filial 1,Indisponivel
Base líquida,Eletrodomésticos,99.96,39,Filial 3,Indisponivel
Sombra de olhos,Alimentos,38.45,17,Filial 3,Indisponivel
Delineador líquido,Eletrônicos,1.21,35,Filial 6,Indisponivel
Batom líquido,Roupas,53.36,5,Filial 9,Indisponivel
Batom matte,Eletrodomésticos,88.24,68,Filial 3,Indisponivel
Batom líquido,Roupas,44.97,59,Filial 9,Indisponivel
Base líquida,Eletrônicos,71.06,13,Filial 9,Indisponivel
Batom matte,Alimentos,69.13,73,Filial 7,Indisponivel
Batom líquido,Alimentos,96.06,6,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrônicos,26.66,6,Filial 5,Indisponivel
Pó compacto,Eletrodomésticos,61.86,37,Filial 7,Indisponivel
Batom matte,Eletrodomésticos,74.64,14,Filial 1,Indisponivel
Blush em pó,Roupas,3.04,96,Filial 5,Indisponivel
Blush em pó,Eletrônicos,63.61,27,Filial 9,Indisponivel
Sombra de olhos,Roupas,38.69,22,Filial 4,Indisponivel
Batom matte,Eletrodomésticos,61.93,37,Filial 6,Indisponivel
Batom líquido,Alimentos,46.42,14,Filial 5,Indisponivel
Corretivo,Eletrodomésticos,81.52,22,Filial 4,Indisponivel
Batom matte,Alimentos,54.9,56,Filial 5,Indisponivel
Pó compacto,Eletrodomésticos,43.59,19,Filial 10,Indisponivel
Batom matte,Eletrônicos,92.65,32,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,61.9,53,Filial 4,Indisponivel
Máscara de cílios,Eletrônicos,40.49,60,Filial 2,Indisponivel
Base líquida,Roupas,38.1,24,Filial 2,Indisponivel
Blush em pó,Eletrônicos,28.29,68,Filial 9,Indisponivel
Corretivo,Alimentos,10.75,31,Filial 10,Indisponivel
Base líquida,Eletrodomésticos,90.7,43,Filial 5,Indisponivel
Pó compacto,Eletrodomésticos,99.34,81,Filial 3,Indisponivel
Pó compacto,Roupas,69.43,50,Filial 2,Indisponivel
Batom matte,Roupas,58.03,56,Filial 1,Indisponivel
Máscara de cílios,Eletrônicos,14.75,24,Filial 7,Indisponivel
Delineador líquido,Roupas,58.33,45,Filial 7,Indisponivel
Blush em pó,Eletrodomésticos,64.83,97,Filial 10,Indisponivel
Delineador líquido,Alimentos,42.42,91,Filial 3,Indisponivel
Batom matte,Alimentos,81.97,94,Filial 7,Indisponivel
Batom matte,Roupas,86.66,28,Filial 5,Indisponivel
Delineador líquido,Alimentos,79.66,9,Filial 5,Indisponivel
Sombra de olhos,Eletrônicos,24.35,30,Filial 3,Indisponivel
Batom matte,Alimentos,8.29,23,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,42.03,4,Filial 4,Indisponivel
Delineador líquido,Eletrônicos,49.41,89,Filial 10,Indisponivel
Blush em pó,Alimentos,94.72,97,Filial 3,Indisponivel
Blush em pó,Alimentos,43.0,67,Filial 7,Indisponivel
Base líquida,Eletrônicos,66.27,19,Filial 5,Indisponivel
Batom matte,Eletrônicos,25.9,56,Filial 9,Indisponivel
Corretivo,Eletrodomésticos,60.08,8,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,52.17,36,Filial 1,Indisponivel
Sombra de olhos,Alimentos,16.67,5,Filial 8,Indisponivel
Corretivo,Alimentos,30.27,10,Filial 5,Indisponivel
Base líquida,Eletrodomésticos,16.56,50,Filial 3,Indisponivel
Pó compacto,Alimentos,22.3,68,Filial 6,Indisponivel
Delineador líquido,Roupas,38.17,83,Filial 3,Indisponivel
Pó compacto,Eletrodomésticos,51.62,8,Filial 8,Indisponivel
Batom matte,Eletrônicos,55.29,8,Filial 5,Indisponivel
Máscara de cílios,Eletrodomésticos,70.51,100,Filial 2,Indisponivel
Batom líquido,Eletrônicos,91.7,41,Filial 8,Indisponivel
Delineador líquido,Alimentos,84.86,12,Filial 10,Indisponivel
Lápis de sobrancelha,Alimentos,45.5,29,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrônicos,29.63,66,Filial 2,Indisponivel
Blush em pó,Roupas,48.53,91,Filial 2,Indisponivel
Máscara de cílios,Eletrodomésticos,30.66,72,Filial 7,Indisponivel
Sombra de olhos,Alimentos,47.97,57,Filial 2,Indisponivel
Pó compacto,Eletrônicos,82.1,24,Filial 7,Indisponivel
Batom líquido,Eletrônicos,45.59,92,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,97.78,9,Filial 6,Indisponivel
Blush em pó,Eletrodomésticos,25.38,42,Filial 7,Indisponivel
Batom líquido,Alimentos,61.49,18,Filial 4,Indisponivel
Sombra de olhos,Eletrodomésticos,47.31,84,Filial 10,Indisponivel
Corretivo,Eletrônicos,93.91,26,Filial 7,Indisponivel
Pó compacto,Eletrodomésticos,7.79,68,Filial 2,Indisponivel
Máscara de cílios,Alimentos,54.57,6,Filial 6,Indisponivel
Batom matte,Eletrônicos,48.55,9,Filial 7,Indisponivel
Batom líquido,Eletrônicos,5.57,94,Filial 4,Indisponivel
Sombra de olhos,Roupas,6.33,53,Filial 9,Indisponivel
Corretivo,Roupas,5.69,98,Filial 7,Indisponivel
Máscara de cílios,Alimentos,21.86,4,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,6.28,64,Filial 1,Indisponivel
Batom líquido,Alimentos,55.14,60,Filial 8,Indisponivel
Blush em pó,Eletrônicos,10.48,77,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,48.27,62,Filial 2,Indisponivel
Blush em pó,Alimentos,31.39,11,Filial 5,Indisponivel
Pó compacto,Roupas,94.63,21,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,36.16,36,Filial 7,Indisponivel
Batom líquido,Eletrônicos,88.47,32,Filial 1,Indisponivel
Base líquida,Alimentos,6.78,17,Filial 6,Indisponivel
Blush em pó,Eletrodomésticos,88.93,42,Filial 8,Indisponivel
Base líquida,Alimentos,32.26,82,Filial 8,Indisponivel
Pó compacto,Eletrônicos,35.34,55,Filial 5,Indisponivel
Blush em pó,Roupas,47.47,39,Filial 9,Indisponivel
Blush em pó,Eletrônicos,41.06,72,Filial 6,Indisponivel
Delineador líquido,Alimentos,17.61,22,Filial 10,Indisponivel
Pó compacto,Eletrônicos,91.45,86,Filial 4,Indisponivel
Sombra de olhos,Eletrônicos,12.99,94,Filial 9,Indisponivel
Base líquida,Roupas,69.22,70,Filial 7,Indisponivel
Delineador líquido,Eletrônicos,54.71,20,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,59.27,72,Filial 2,Indisponivel
Delineador líquido,Alimentos,69.28,58,Filial 10,Indisponivel
Máscara de cílios,Eletrodomésticos,39.2,66,Filial 5,Indisponivel
Batom líquido,Roupas,44.7,81,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,20.2,58,Filial 4,Indisponivel
Máscara de cílios,Eletrônicos,13.9,18,Filial 1,Indisponivel
Blush em pó,Eletrônicos,72.86,66,Filial 3,Indisponivel
Batom líquido,Eletrônicos,48.96,31,Filial 4,Indisponivel
Batom líquido,Eletrônicos,16.68,66,Filial 3,Indisponivel
Batom matte,Roupas,51.34,96,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,7.49,41,Filial 7,Indisponivel
Pó compacto,Eletrodomésticos,42.18,63,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,29.13,63,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,95.78,5,Filial 1,Indisponivel
Batom matte,Eletrônicos,64.39,5,Filial 6,Indisponivel
Blush em pó,Eletrônicos,18.68,70,Filial 1,Indisponivel
Pó compacto,Roupas,58.98,66,Filial 2,Indisponivel
Sombra de olhos,Alimentos,54.18,55,Filial 5,Indisponivel
Delineador líquido,Roupas,76.28,68,Filial 5,Indisponivel
Blush em pó,Eletrodomésticos,71.76,54,Filial 8,Indisponivel
Sombra de olhos,Eletrônicos,71.34,94,Filial 5,Indisponivel
Corretivo,Eletrodomésticos,9.37,79,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,26.14,34,Filial 2,Indisponivel
Blush em pó,Eletrônicos,50.71,24,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,92.89,85,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,6.17,31,Filial 1,Indisponivel
Batom líquido,Alimentos,36.17,83,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,26.5,41,Filial 3,Indisponivel
Corretivo,Alimentos,28.47,74,Filial 5,Indisponivel
Corretivo,Roupas,97.14,45,Filial 9,Indisponivel
Delineador líquido,Roupas,74.64,74,Filial 5,Indisponivel
Corretivo,Eletrodomésticos,76.1,22,Filial 10,Indisponivel
Base líquida,Eletrônicos,13.91,26,Filial 6,Indisponivel
Pó compacto,Eletrônicos,28.38,76,Filial 10,Indisponivel
Blush em pó,Eletrodomésticos,84.97,9,Filial 5,Indisponivel
Delineador líquido,Roupas,28.06,46,Filial 10,Indisponivel
Máscara de cílios,Eletrodomésticos,82.73,82,Filial 4,Indisponivel
Blush em pó,Eletrônicos,30.62,48,Filial 9,Indisponivel
Máscara de cílios,Roupas,96.83,4,Filial 7,Indisponivel
Batom matte,Roupas,25.44,57,Filial 3,Indisponivel
Sombra de olhos,Alimentos,13.9,95,Filial 4,Indisponivel
Sombra de olhos,Roupas,75.2,73,Filial 3,Indisponivel
Delineador líquido,Roupas,73.91,83,Filial 5,Indisponivel
Batom matte,Roupas,90.77,70,Filial 6,Indisponivel
Blush em pó,Eletrônicos,78.41,34,Filial 2,Indisponivel
Batom matte,Eletrônicos,96.68,51,Filial 3,Indisponivel
Sombra de olhos,Alimentos,93.44,23,Filial 1,Indisponivel
Máscara de cílios,Eletrodomésticos,55.11,20,Filial 8,Indisponivel
Máscara de cílios,Eletrônicos,86.45,28,Filial 6,Indisponivel
Delineador líquido,Roupas,75.96,26,Filial 10,Indisponivel
Delineador líquido,Eletrodomésticos,22.55,44,Filial 4,Indisponivel
Blush em pó,Roupas,81.8,1,Filial 7,Indisponivel
Sombra de olhos,Alimentos,16.86,29,Filial 2,Indisponivel
Máscara de cílios,Roupas,40.61,3,Filial 1,Indisponivel
Base líquida,Eletrodomésticos,32.58,60,Filial 6,Indisponivel
Pó compacto,Alimentos,56.54,75,Filial 5,Indisponivel
Blush em pó,Alimentos,3.79,96,Filial 8,Indisponivel
Blush em pó,Roupas,82.77,39,Filial 3,Indisponivel
Máscara de cílios,Eletrodomésticos,38.17,11,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,41.7,83,Filial 3,Indisponivel
Sombra de olhos,Eletrônicos,26.45,98,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrônicos,25.54,38,Filial 6,Indisponivel
Pó compacto,Roupas,6.37,93,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,23.32,73,Filial 10,Indisponivel
Batom matte,Eletrônicos,39.23,76,Filial 5,Indisponivel
Lápis de sobrancelha,Alimentos,42.01,69,Filial 10,Indisponivel
Máscara de cílios,Roupas,58.12,97,Filial 2,Indisponivel
Batom matte,Eletrônicos,36.35,66,Filial 8,Indisponivel
Pó compacto,Alimentos,98.51,39,Filial 1,Indisponivel
Lápis de sobrancelha,Roupas,44.01,84,Filial 1,Indisponivel
Blush em pó,Eletrodomésticos,45.12,3,Filial 2,Indisponivel
Batom líquido,Eletrônicos,87.08,68,Filial 5,Indisponivel
Blush em pó,Roupas,11.82,95,Filial 3,Indisponivel
Blush em pó,Alimentos,40.0,81,Filial 3,Indisponivel
Sombra de olhos,Eletrônicos,44.04,26,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,52.8,82,Filial 9,Indisponivel
Corretivo,Alimentos,93.96,47,Filial 7,Indisponivel
Sombra de olhos,Alimentos,25.93,31,Filial 3,Indisponivel
Base líquida,Eletrônicos,5.12,17,Filial 3,Indisponivel
Sombra de olhos,Roupas,95.64,56,Filial 6,Indisponivel
Blush em pó,Alimentos,49.35,47,Filial 1,Indisponivel
Pó compacto,Eletrodomésticos,5.25,4,Filial 2,Indisponivel
Pó compacto,Eletrônicos,35.95,48,Filial 2,Indisponivel
Lápis de sobrancelha,Roupas,49.27,53,Filial 6,Indisponivel
Batom matte,Roupas,84.93,42,Filial 10,Indisponivel
Delineador líquido,Alimentos,62.73,41,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,7.03,44,Filial 5,Indisponivel
Base líquida,Roupas,9.06,5,Filial 5,Indisponivel
Batom matte,Alimentos,5.84,50,Filial 3,Indisponivel
Corretivo,Alimentos,95.69,75,Filial 8,Indisponivel
Pó compacto,Alimentos,68.94,87,Filial 10,Indisponivel
Batom líquido,Roupas,79.62,89,Filial 2,Indisponivel
Corretivo,Eletrônicos,29.21,4,Filial 7,Indisponivel
Base líquida,Eletrodomésticos,94.61,48,Filial 6,Indisponivel
Batom matte,Eletrônicos,83.96,65,Filial 1,Indisponivel
Lápis de sobrancelha,Roupas,24.93,3,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,51.8,5,Filial 2,Indisponivel
Batom líquido,Alimentos,15.1,55,Filial 7,Indisponivel
Base líquida,Eletrônicos,66.46,88,Filial 9,Indisponivel
Batom líquido,Eletrônicos,53.27,98,Filial 2,Indisponivel
Batom líquido,Eletrodomésticos,16.14,10,Filial 3,Indisponivel
Delineador líquido,Alimentos,37.51,24,Filial 5,Indisponivel
Sombra de olhos,Alimentos,98.77,70,Filial 8,Indisponivel
Pó compacto,Alimentos,18.12,14,Filial 3,Indisponivel
Pó compacto,Alimentos,35.48,45,Filial 1,Indisponivel
Base líquida,Alimentos,25.97,99,Filial 7,Indisponivel
Batom líquido,Eletrodomésticos,25.13,11,Filial 4,Indisponivel
Batom matte,Eletrônicos,46.19,50,Filial 2,Indisponivel
Pó compacto,Eletrodomésticos,31.23,54,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrônicos,92.06,11,Filial 2,Indisponivel
Lápis de sobrancelha,Eletrônicos,27.87,10,Filial 10,Indisponivel
Blush em pó,Roupas,44.22,67,Filial 8,Indisponivel
Base líquida,Eletrodomésticos,11.7,86,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,94.39,47,Filial 4,Indisponivel
Batom líquido,Eletrônicos,36.06,17,Filial 9,Indisponivel
Delineador líquido,Alimentos,73.8,22,Filial 10,Indisponivel
Blush em pó,Roupas,1.22,33,Filial 4,Indisponivel
Pó compacto,Alimentos,63.12,89,Filial 6,Indisponivel
Máscara de cílios,Eletrônicos,29.82,44,Filial 10,Indisponivel
Batom líquido,Roupas,87.6,67,Filial 7,Indisponivel
Delineador líquido,Eletrodomésticos,92.61,79,Filial 1,Indisponivel
Lápis de sobrancelha,Alimentos,38.06,21,Filial 6,Indisponivel
Delineador líquido,Eletrodomésticos,45.86,46,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,22.53,83,Filial 4,Indisponivel
Corretivo,Alimentos,21.08,1,Filial 4,Indisponivel
Blush em pó,Alimentos,10.4,96,Filial 5,Indisponivel
Delineador líquido,Eletrodomésticos,48.78,90,Filial 7,Indisponivel
Corretivo,Eletrônicos,91.8,72,Filial 3,Indisponivel
Lápis de sobrancelha,Roupas,29.49,14,Filial 10,Indisponivel
Batom matte,Alimentos,9.47,82,Filial 7,Indisponivel
Batom líquido,Roupas,40.19,91,Filial 7,Indisponivel
Batom líquido,Eletrônicos,15.59,44,Filial 3,Indisponivel
Delineador líquido,Alimentos,35.33,17,Filial 6,Indisponivel
Blush em pó,Eletrodomésticos,22.05,21,Filial 3,Indisponivel
Delineador líquido,Alimentos,11.66,47,Filial 7,Indisponivel
Corretivo,Eletrônicos,39.44,73,Filial 5,Indisponivel
Sombra de olhos,Alimentos,24.7,27,Filial 1,Indisponivel
Pó compacto,Eletrônicos,22.21,48,Filial 9,Indisponivel
Corretivo,Eletrodomésticos,56.91,11,Filial 8,Indisponivel
Blush em pó,Alimentos,92.02,80,Filial 3,Indisponivel
Pó compacto,Eletrodomésticos,47.04,97,Filial 9,Indisponivel
Batom líquido,Eletrodomésticos,53.46,18,Filial 2,Indisponivel
Blush em pó,Eletrônicos,22.33,69,Filial 8,Indisponivel
Batom matte,Eletrônicos,34.04,81,Filial 1,Indisponivel
Batom matte,Roupas,56.84,16,Filial 4,Indisponivel
Corretivo,Eletrodomésticos,91.85,36,Filial 6,Indisponivel
Blush em pó,Roupas,82.77,40,Filial 6,Indisponivel
Sombra de olhos,Eletrônicos,88.51,37,Filial 1,Indisponivel
Delineador líquido,Alimentos,47.63,23,Filial 1,Indisponivel
Batom matte,Eletrodomésticos,71.09,61,Filial 4,Indisponivel
Delineador líquido,Alimentos,80.58,54,Filial 4,Indisponivel
Batom matte,Eletrodomésticos,39.66,17,Filial 6,Indisponivel
Batom líquido,Alimentos,89.76,30,Filial 9,Indisponivel
Corretivo,Roupas,76.69,42,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,41.82,85,Filial 8,Indisponivel
Sombra de olhos,Eletrônicos,95.02,33,Filial 9,Indisponivel
Base líquida,Alimentos,21.51,4,Filial 9,Indisponivel
Pó compacto,Eletrodomésticos,36.1,75,Filial 2,Indisponivel
Blush em pó,Alimentos,23.75,76,Filial 10,Indisponivel
Delineador líquido,Eletrônicos,17.94,9,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,61.15,23,Filial 5,Indisponivel
Batom matte,Alimentos,10.14,76,Filial 1,Indisponivel
Corretivo,Eletrônicos,8.38,74,Filial 4,Indisponivel
Blush em pó,Alimentos,68.66,90,Filial 3,Indisponivel
Batom matte,Alimentos,94.48,56,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,61.52,45,Filial 10,Indisponivel
Corretivo,Roupas,75.95,86,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,29.08,73,Filial 3,Indisponivel
Sombra de olhos,Eletrônicos,73.62,23,Filial 1,Indisponivel
Base líquida,Eletrônicos,73.08,96,Filial 3,Indisponivel
Máscara de cílios,Eletrodomésticos,54.72,69,Filial 8,Indisponivel
Máscara de cílios,Roupas,98.37,91,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrônicos,69.84,77,Filial 9,Indisponivel
Batom líquido,Eletrônicos,51.2,97,Filial 6,Indisponivel
Sombra de olhos,Roupas,63.58,12,Filial 7,Indisponivel
Sombra de olhos,Roupas,18.03,4,Filial 9,Indisponivel
Batom matte,Eletrodomésticos,85.48,16,Filial 6,Indisponivel
Sombra de olhos,Eletrônicos,67.04,5,Filial 7,Indisponivel
Máscara de cílios,Eletrodomésticos,2.32,69,Filial 7,Indisponivel
Máscara de cílios,Roupas,26.51,5,Filial 9,Indisponivel
Lápis de sobrancelha,Alimentos,80.99,40,Filial 6,Indisponivel
Batom líquido,Roupas,23.51,10,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,72.35,83,Filial 1,Indisponivel
Blush em pó,Alimentos,73.9,16,Filial 4,Indisponivel
Batom matte,Alimentos,87.61,74,Filial 1,Indisponivel
Máscara de cílios,Roupas,79.1,22,Filial 4,Indisponivel
Lápis de sobrancelha,Roupas,57.36,20,Filial 8,Indisponivel
Batom matte,Alimentos,10.52,48,Filial 6,Indisponivel
Batom matte,Eletrodomésticos,68.72,5,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,60.99,55,Filial 2,Indisponivel
Batom matte,Eletrônicos,14.68,61,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,5.43,54,Filial 5,Indisponivel
Sombra de olhos,Roupas,25.28,47,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,74.54,90,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,24.15,89,Filial 6,Indisponivel
Pó compacto,Alimentos,51.2,24,Filial 5,Indisponivel
Sombra de olhos,Roupas,46.42,29,Filial 4,Indisponivel
Máscara de cílios,Alimentos,32.29,63,Filial 6,Indisponivel
Batom matte,Alimentos,8.28,32,Filial 2,Indisponivel
Corretivo,Eletrodomésticos,55.37,62,Filial 4,Indisponivel
Batom matte,Eletrônicos,16.69,42,Filial 6,Indisponivel
Batom líquido,Alimentos,30.36,15,Filial 6,Indisponivel
Sombra de olhos,Eletrodomésticos,1.7,54,Filial 7,Indisponivel
Blush em pó,Alimentos,13.41,73,Filial 7,Indisponivel
Blush em pó,Alimentos,44.14,3,Filial 5,Indisponivel
Sombra de olhos,Roupas,4.12,15,Filial 1,Indisponivel
Máscara de cílios,Alimentos,78.91,31,Filial 2,Indisponivel
Blush em pó,Eletrônicos,62.7,79,Filial 1,Indisponivel
Corretivo,Eletrodomésticos,3.26,25,Filial 4,Indisponivel
Blush em pó,Eletrônicos,70.87,55,Filial 6,Indisponivel
